State,date,cases,deaths,population,p_cases,p_deaths,diff,p_diff,d_diff,p.d_diff
TN,2020-04-11T00:00:00Z,5111,101,6829174,74.84067619305058,1.4789489914885752,252,3.6900509490606055,3,0.04392917796500706
TN,2020-04-12T00:00:00Z,5302,101,6829174,77.63750052348938,1.4789489914885752,191,2.7968243304387954,0,0
TN,2020-04-13T00:00:00Z,5603,109,6829174,82.04506137931176,1.596093466061928,301,4.407560855822382,8,0.11714447457335275
TN,2020-04-14T00:00:00Z,5816,124,6829174,85.16403301482727,1.815739355886964,213,3.118971635515507,15,0.21964588982503597
TN,2020-04-15T00:00:00Z,6073,134,6829174,88.92729926049621,1.9621699491036546,257,3.7632662456689445,10,0.14643059321669072
TN,2020-04-16T00:00:00Z,6260,140,6829174,91.66555135364834,2.0500283050336687,187,2.738252093152127,6,0.08785835593001412
TN,2020-04-17T00:00:00Z,6581,142,6829174,96.3659733959041,2.079314423677007,321,4.7004220422557665,2,0.029286118643338188
TN,2020-04-18T00:00:00Z,6753,145,6829174,98.88457959923119,2.1232436016420144,172,2.5186062033270815,3,0.043929177965007504
TN,2020-04-19T00:00:00Z,7064,148,6829174,103.43857104827028,2.167172779607021,311,4.5539914490390885,3,0.043929177965006616
TN,2020-04-20T00:00:00Z,7232,152,6829174,105.89860501431068,2.2257450168936974,168,2.460033966040399,4,0.058572237286676376
TN,2020-04-21T00:00:00Z,7389,157,6829174,108.19756532781271,2.298960313502043,157,2.298960313502036,5,0.07321529660834569
TN,2020-04-22T00:00:00Z,7835,166,6829174,114.72836978527711,2.4307478473970647,446,6.530804457464399,9,0.13178753389502162
TN,2020-04-23T00:00:00Z,8262,170,6829174,120.9809561156298,2.4893200846837407,427,6.252586330352685,4,0.05857223728667593
TN,2020-04-24T00:00:00Z,8722,170,6829174,127.71676340359757,2.4893200846837407,460,6.7358072879677735,0,0
TN,2020-04-25T00:00:00Z,9186,178,6829174,134.511142928852,2.6064645592570934,464,6.794379525254428,8,0.11714447457335275
TN,2020-04-26T00:00:00Z,9662,181,6829174,141.48123916596649,2.6503937372221,476,6.97009623711449,3,0.043929177965006616
TN,2020-04-27T00:00:00Z,9914,184,6829174,145.1712901150271,2.6943229151871075,252,3.6900509490606055,3,0.043929177965007504
TN,2020-04-28T00:00:00Z,10049,184,6829174,147.14810312345242,2.6943229151871075,135,1.9768130084253244,0,0
TN,2020-04-29T00:00:00Z,10363,194,6829174,151.74602375045652,2.840753508403798,314,4.5979206270041,10,0.1464305932166905
TN,2020-04-30T00:00:00Z,10731,199,6829174,157.13466958083072,2.9139688050121437,368,5.388645830374202,5,0.07321529660834569
TN,2020-05-01T00:00:00Z,11889,204,6829174,174.09133227532348,2.987184101620489,1158,16.956662694492763,5,0.07321529660834525
TN,2020-05-02T00:00:00Z,12659,209,6829174,185.36648795300866,3.0603993982288342,770,11.275155677685177,5,0.07321529660834525
TN,2020-05-03T00:00:00Z,13176,210,6829174,192.93694962231157,3.075042457550503,517,7.570461669302915,1,0.014643059321668872
TN,2020-05-04T00:00:00Z,13528,219,6829174,198.09130650353907,3.2068299914455247,352,5.1543568812275,9,0.13178753389502162
TN,2020-05-05T00:00:00Z,13639,226,6829174,199.71668608824433,3.3093314066972086,111,1.6253795847052572,7,0.10250141525168388
TN,2020-05-06T00:00:00Z,13929,238,6829174,203.96317329152836,3.4850481185572373,290,4.246487203284033,12,0.17571671186002868
TN,2020-05-07T00:00:00Z,14091,238,6829174,206.33534890163878,3.4850481185572373,162,2.3721756101104177,0,0
TN,2020-05-08T00:00:00Z,14436,241,6829174,211.38720436761457,3.5289772965222443,345,5.051855465975791,3,0.04392917796500706
TN,2020-05-09T00:00:00Z,14763,242,6829174,216.17548476580038,3.543620355843913,327,4.788280398185805,1,0.014643059321668872
TN,2020-05-10T00:00:00Z,14983,243,6829174,219.39695781656755,3.558263415165582,220,3.221473050767173,1,0.014643059321668872
TN,2020-05-11T00:00:00Z,15541,251,6829174,227.5677849180589,3.675407889738935,558,8.17082710149134,8,0.11714447457335275
TN,2020-05-12T00:00:00Z,16107,264,6829174,235.8557564941236,3.8657676609206324,566,8.287971576064706,13,0.19035977118169756
TN,2020-05-13T00:00:00Z,16368,272,6829174,239.67759497707922,3.982912135493985,261,3.821838482955627,8,0.11714447457335275
TN,2020-05-14T00:00:00Z,16696,287,6829174,244.48051843458666,4.2025580253190205,328,4.802923457507433,15,0.2196458898250353
TN,2020-05-15T00:00:00Z,16968,290,6829174,248.46343057008065,4.246487203284029,272,3.98291213549399,3,0.04392917796500839
TN,2020-05-16T00:00:00Z,17285,295,6829174,253.10528037504974,4.319702499892373,317,4.641849804969098,5,0.07321529660834436
TN,2020-05-17T00:00:00Z,17383,298,6829174,254.54030018857333,4.363631677857381,98,1.4350198135235814,3,0.043929177965007504
TN,2020-05-18T00:00:00Z,18003,301,6829174,263.6189969680081,4.407560855822388,620,9.078696779434779,3,0.043929177965007504
TN,2020-05-19T00:00:00Z,18365,305,6829174,268.91978444245234,4.466133093109064,362,5.300787474444235,4,0.05857223728667549
TN,2020-05-20T00:00:00Z,18530,309,6829174,271.33588923052775,4.52470533039574,165,2.4161047880754154,4,0.058572237286676376
TN,2020-05-21T00:00:00Z,18963,313,6829174,277.67633391681045,4.5832775676824165,433,6.340444686282694,4,0.058572237286676376
TN,2020-05-22T00:00:00Z,19036,315,6829174,278.7452772472923,4.612563686325755,73,1.0689433304818294,2,0.029286118643338632
TN,2020-05-23T00:00:00Z,19437,325,6829174,284.61714403528157,4.758994279542446,401,5.8718667879892905,10,0.1464305932166905
TN,2020-05-24T00:00:00Z,19753,332,6829174,289.244350780929,4.8614956947941295,316,4.627206745647413,7,0.10250141525168388
TN,2020-05-25T00:00:00Z,20200,334,6829174,295.7897982977151,4.890781813437467,447,6.545447516786112,2,0.029286118643337744
TN,2020-05-26T00:00:00Z,20555,338,6829174,300.98808435690756,4.949354050724143,355,5.198286059192469,4,0.05857223728667549
TN,2020-05-27T00:00:00Z,20922,348,6829174,306.36208712796014,5.095784643940834,367,5.374002771052574,10,0.14643059321669138
TN,2020-05-28T00:00:00Z,21289,351,6829174,311.73608989901265,5.139713821905841,367,5.374002771052517,3,0.043929177965006616
TN,2020-05-29T00:00:00Z,22080,359,6829174,323.3187498224529,5.2568582964791934,791,11.582659923440247,8,0.11714447457335275
TN,2020-05-30T00:00:00Z,22562,364,6829174,330.3767044154974,5.330073593087539,482,7.057954593044485,5,0.07321529660834525
TN,2020-05-31T00:00:00Z,22560,364,6829174,330.3474182968541,5.330073593087539,-2,-0.029286118643312875,0,0
TN,2020-06-01T00:00:00Z,23100,365,6829174,338.2546703305553,5.3447166524092085,540,7.907252033701241,1,0.01464305932166976
TN,2020-06-02T00:00:00Z,23840,375,6829174,349.09053422859046,5.491147245625899,740,10.835863898035143,10,0.1464305932166905
TN,2020-06-03T00:00:00Z,24249,382,6829174,355.0795454911531,5.593648660877582,409,5.989011262562656,7,0.10250141525168299
