County,date,cases,Region,Color,log_cases,Population,p_cases,log_p_cases
Franklin,2020-07-04T00:00:00Z,33,North Country,#dcc8dc,1.5185139398778875,50692,65.0990294326521,1.8135745136805472
Fulton,2020-07-04T00:00:00Z,261,Mohawk Valley,#ffff00,2.416640507338281,53743,485.64464209292373,2.686318601715252
Genesee,2020-07-04T00:00:00Z,239,Western New York,#979797,2.3783979009481375,58112,411.2747797356828,2.6141320784431654
Greene,2020-07-04T00:00:00Z,263,Capital,#00ffff,2.419955748489758,47617,552.3237499212466,2.7421937182879157
Hamilton,2020-07-04T00:00:00Z,6,North Country,#dcc8dc,0.7781512503836436,4575,131.14754098360655,2.1177601519811766
Herkimer,2020-07-04T00:00:00Z,172,Mohawk Valley,#ffff00,2.2355284469075487,62505,275.1779857611391,2.4396136873945897
Jefferson,2020-07-04T00:00:00Z,93,Tug Hill Seaway,#e978ef,1.968482948553935,114448,81.25961135188032,1.9098747408535799
Lewis,2020-07-04T00:00:00Z,31,Tug Hill Seaway,#e978ef,1.4913616938342726,26719,116.02230622403532,2.0645414938709172
Livingston,2020-07-04T00:00:00Z,131,Finger Lakes,#b4ffaa,2.1172712956557644,63907,204.9853693648583,2.311722864807662
Madison,2020-07-04T00:00:00Z,363,Central New York,#d7e1be,2.5599066250361124,71359,508.6954693871831,2.7064578696759622
Monroe,2020-07-04T00:00:00Z,3922,Finger Lakes,#b4ffaa,3.5935075893317654,744248,526.9748793412948,2.721789913080696
Montgomery,2020-07-04T00:00:00Z,119,Mohawk Valley,#ffff00,2.0755469613925306,49426,240.763970379962,2.3815914965562697
Nassau,2020-07-04T00:00:00Z,41988,Long Island,#ff64a5,4.623125188530532,1356564,3095.172804231868,3.4906849007969574
New York,2020-07-04T00:00:00Z,216730,New York City,#c8ff00,5.335919030990713,8443713,2566.7618025387646,3.409385567680836
Niagara,2020-07-04T00:00:00Z,1277,Western New York,#979797,3.1061908972634154,211704,603.2006953104335,2.7804618334739697
Oneida,2020-07-04T00:00:00Z,1725,Central New York,#d7e1be,3.2367890994092927,230782,747.4586406218856,2.8735871666999673
Onondaga,2020-07-04T00:00:00Z,2928,Central New York,#d7e1be,3.4665710723863543,464242,630.7055371982716,2.7998266438426906
Ontario,2020-07-04T00:00:00Z,278,Finger Lakes,#b4ffaa,2.444044795918076,109472,253.94621455714704,2.404741743413108
Orange,2020-07-04T00:00:00Z,10766,Mid-Hudson,#91bdf0,4.032054375479669,378227,2846.438778828587,3.4543018474474625
Orleans,2020-07-04T00:00:00Z,282,Western New York,#979797,2.450249108319361,41175,684.8816029143898,2.835615500477569
Oswego,2020-07-04T00:00:00Z,206,Central New York,#d7e1be,2.3138672203691533,119104,172.95808704997313,2.2379408732544994
Otsego,2020-07-04T00:00:00Z,86,Mohawk Valley,#ffff00,1.9344984512435677,60244,142.75280525861496,2.154584651393305
Putnam,2020-07-04T00:00:00Z,1335,Mid-Hudson,#91bdf0,3.125481265700594,99070,1347.5320480468356,3.1295391027080433
Rensselaer,2020-07-04T00:00:00Z,563,Capital,#00ffff,2.7505083948513462,159431,353.1308214839021,2.547935624717484
Rockland,2020-07-04T00:00:00Z,13629,Mid-Hudson,#91bdf0,4.134463991534289,323686,4210.562087949433,3.624340075740714
St. Lawrence,2020-07-04T00:00:00Z,223,Tug Hill Seaway,#e978ef,2.3483048630481607,109558,203.54515416491722,2.3086607675138078
Saratoga,2020-07-04T00:00:00Z,562,Capital,#00ffff,2.749736315569061,227377,247.16659996393653,2.3929897834419136
Schenectady,2020-07-04T00:00:00Z,831,Capital,#00ffff,2.919601023784111,154883,536.5340289121466,2.7295972716889327
Schoharie,2020-07-04T00:00:00Z,58,Mohawk Valley,#ffff00,1.7634279935629373,31364,184.92539216936615,2.2669965483787373
Schuyler,2020-07-04T00:00:00Z,13,Finger Lakes,#b4ffaa,1.1139433523068367,17992,72.25433526011561,1.858863909879261
Seneca,2020-07-04T00:00:00Z,70,Finger Lakes,#b4ffaa,1.845098040014257,34612,202.24199699526176,2.3058713449712616
Steuben,2020-07-04T00:00:00Z,269,Finger Lakes,#b4ffaa,2.429752280002408,96927,277.5284492453083,2.443307508961257
Suffolk,2020-07-04T00:00:00Z,41585,Long Island,#ff64a5,4.618936705819406,1487901,2794.8768096802137,3.446362670163346
