County,date,deaths,cases
Steuben,2020-04-14T00:00:00Z,16,147
Suffolk,2020-04-14T00:00:00Z,608,22691
Sullivan,2020-04-14T00:00:00Z,9,415
Ulster,2020-04-14T00:00:00Z,13,716
Westchester,2020-04-14T00:00:00Z,596,20191
New York State,2020-04-15T00:00:00Z,11617,214454
Albany,2020-04-15T00:00:00Z,20,548
Broome,2020-04-15T00:00:00Z,8,153
Chautauqua,2020-04-15T00:00:00Z,3,24
Clinton,2020-04-15T00:00:00Z,3,45
Columbia,2020-04-15T00:00:00Z,10,100
Delaware,2020-04-15T00:00:00Z,3,46
Dutchess,2020-04-15T00:00:00Z,18,2048
Erie,2020-04-15T00:00:00Z,101,1812
Genesee,2020-04-15T00:00:00Z,2,76
Herkimer,2020-04-15T00:00:00Z,3,40
Livingston,2020-04-15T00:00:00Z,3,34
Madison,2020-04-15T00:00:00Z,3,110
Monroe,2020-04-15T00:00:00Z,56,884
Nassau,2020-04-15T00:00:00Z,1057,26715
New York,2020-04-15T00:00:00Z,8455,118302
Niagara,2020-04-15T00:00:00Z,9,229
Oneida,2020-04-15T00:00:00Z,4,246
Onondaga,2020-04-15T00:00:00Z,12,563
Orange,2020-04-15T00:00:00Z,178,5830
Oswego,2020-04-15T00:00:00Z,2,42
Otsego,2020-04-15T00:00:00Z,3,44
Putnam,2020-04-15T00:00:00Z,7,634
Rensselaer,2020-04-15T00:00:00Z,6,140
Rockland,2020-04-15T00:00:00Z,298,8474
Saratoga,2020-04-15T00:00:00Z,4,227
Schenectady,2020-04-15T00:00:00Z,8,237
Steuben,2020-04-15T00:00:00Z,16,151
Suffolk,2020-04-15T00:00:00Z,653,23523
Sullivan,2020-04-15T00:00:00Z,10,424
Ulster,2020-04-15T00:00:00Z,13,745
Washington,2020-04-15T00:00:00Z,2,42
Westchester,2020-04-15T00:00:00Z,640,20947
Wyoming,2020-04-15T00:00:00Z,3,42
New York State,2020-04-16T00:00:00Z,14832,223691
Albany,2020-04-16T00:00:00Z,20,581
Broome,2020-04-16T00:00:00Z,8,167
Chautauqua,2020-04-16T00:00:00Z,3,24
Clinton,2020-04-16T00:00:00Z,3,46
Columbia,2020-04-16T00:00:00Z,10,100
Delaware,2020-04-16T00:00:00Z,3,47
Dutchess,2020-04-16T00:00:00Z,19,2085
Erie,2020-04-16T00:00:00Z,107,1951
Genesee,2020-04-16T00:00:00Z,2,78
Herkimer,2020-04-16T00:00:00Z,3,43
Livingston,2020-04-16T00:00:00Z,3,34
Madison,2020-04-16T00:00:00Z,3,110
Monroe,2020-04-16T00:00:00Z,62,932
Nassau,2020-04-16T00:00:00Z,1109,27772
New York,2020-04-16T00:00:00Z,11477,123146
Niagara,2020-04-16T00:00:00Z,9,229
Oneida,2020-04-16T00:00:00Z,6,249
Onondaga,2020-04-16T00:00:00Z,17,579
Orange,2020-04-16T00:00:00Z,204,6266
Oswego,2020-04-16T00:00:00Z,2,44
Otsego,2020-04-16T00:00:00Z,3,44
