county,deaths,date
Herkimer,3,2020-04-24
Jefferson,0,2020-04-24
Kings,3540,2020-04-24
Lewis,3,2020-04-24
Livingston,1,2020-04-24
Madison,5,2020-04-24
Manhattan,1366,2020-04-24
Monroe,68,2020-04-24
Montgomery,3,2020-04-24
Nassau,1471,2020-04-24
New York,10761,2020-04-24
Niagara,21,2020-04-24
Oneida,8,2020-04-24
Onondaga,21,2020-04-24
Ontario,4,2020-04-24
Orange,192,2020-04-24
Orleans,4,2020-04-24
Oswego,2,2020-04-24
Otsego,3,2020-04-24
Putnam,39,2020-04-24
Queens,3520,2020-04-24
Rensselaer,7,2020-04-24
Richmond,506,2020-04-24
Rockland,349,2020-04-24
St. Lawrence,1,2020-04-24
Saratoga,10,2020-04-24
Schenectady,16,2020-04-24
Schoharie,1,2020-04-24
Schuyler,0,2020-04-24
Seneca,2,2020-04-24
Steuben,16,2020-04-24
Suffolk,959,2020-04-24
Sullivan,9,2020-04-24
Tioga,2,2020-04-24
Tompkins,0,2020-04-24
Ulster,19,2020-04-24
Warren,5,2020-04-24
Washington,3,2020-04-24
Wayne,1,2020-04-24
Westchester,863,2020-04-24
Wyoming,5,2020-04-24
Yates,1,2020-04-24
New York State,16162,2020-04-25
Albany,23,2020-04-25
Allegany,2,2020-04-25
Bronx,2388,2020-04-25
Broome,11,2020-04-25
Cattaraugus,1,2020-04-25
Cayuga,2,2020-04-25
Chautauqua,1,2020-04-25
Chemung,1,2020-04-25
Chenango,0,2020-04-25
Clinton,4,2020-04-25
Columbia,14,2020-04-25
Cortland,1,2020-04-25
Delaware,2,2020-04-25
Dutchess,60,2020-04-25
Erie,171,2020-04-25
Essex,0,2020-04-25
Franklin,0,2020-04-25
Fulton,3,2020-04-25
Genesee,3,2020-04-25
Greene,2,2020-04-25
Hamilton,0,2020-04-25
Herkimer,3,2020-04-25
Jefferson,0,2020-04-25
Kings,3639,2020-04-25
Lewis,3,2020-04-25
Livingston,1,2020-04-25
Madison,5,2020-04-25
Manhattan,1518,2020-04-25
Monroe,69,2020-04-25
Montgomery,4,2020-04-25
Nassau,1518,2020-04-25
New York,11146,2020-04-25
Niagara,21,2020-04-25
Oneida,8,2020-04-25
Onondaga,22,2020-04-25
Ontario,4,2020-04-25
Orange,197,2020-04-25
Orleans,4,2020-04-25
Oswego,2,2020-04-25
Otsego,3,2020-04-25
Putnam,40,2020-04-25
Queens,3601,2020-04-25
Rensselaer,7,2020-04-25
Richmond,511,2020-04-25
Rockland,362,2020-04-25
St. Lawrence,1,2020-04-25
Saratoga,10,2020-04-25
Schenectady,17,2020-04-25
Schoharie,1,2020-04-25
Schuyler,0,2020-04-25
Seneca,2,2020-04-25
Steuben,17,2020-04-25
Suffolk,993,2020-04-25
Sullivan,10,2020-04-25
Tioga,2,2020-04-25
Tompkins,0,2020-04-25
Ulster,19,2020-04-25
Warren,5,2020-04-25
Washington,3,2020-04-25
Wayne,1,2020-04-25
Westchester,891,2020-04-25
Wyoming,5,2020-04-25
Yates,1,2020-04-25
New York State,16599,2020-04-26
Albany,23,2020-04-26
Allegany,2,2020-04-26
Bronx,2442,2020-04-26
Broome,13,2020-04-26
Cattaraugus,2,2020-04-26
Cayuga,2,2020-04-26
Chautauqua,1,2020-04-26
Chemung,1,2020-04-26
