NAME,date,deaths
Louisiana,2020-04-04T00:00:00Z,409
Maine,2020-04-04T00:00:00Z,10
Maryland,2020-04-04T00:00:00Z,54
Massachusetts,2020-04-04T00:00:00Z,216
Michigan,2020-04-04T00:00:00Z,585
Minnesota,2020-04-04T00:00:00Z,24
Mississippi,2020-04-04T00:00:00Z,35
Missouri,2020-04-04T00:00:00Z,51
Nevada,2020-04-04T00:00:00Z,46
New Jersey,2020-04-04T00:00:00Z,1059
New Mexico,2020-04-04T00:00:00Z,11
New York,2020-04-04T00:00:00Z,5686
North Carolina,2020-04-04T00:00:00Z,34
Ohio,2020-04-04T00:00:00Z,102
Oklahoma,2020-04-04T00:00:00Z,42
Oregon,2020-04-04T00:00:00Z,22
Pennsylvania,2020-04-04T00:00:00Z,136
Puerto Rico,2020-04-04T00:00:00Z,18
Rhode Island,2020-04-04T00:00:00Z,21
South Carolina,2020-04-04T00:00:00Z,40
Tennessee,2020-04-04T00:00:00Z,50
Texas,2020-04-04T00:00:00Z,136
Vermont,2020-04-04T00:00:00Z,20
Virginia,2020-04-04T00:00:00Z,52
Washington,2020-04-04T00:00:00Z,315
Wisconsin,2020-04-04T00:00:00Z,102
United States,2020-04-05T00:00:00Z,12452
Alabama,2020-04-05T00:00:00Z,45
Arizona,2020-04-05T00:00:00Z,64
Arkansas,2020-04-05T00:00:00Z,16
California,2020-04-05T00:00:00Z,348
Colorado,2020-04-05T00:00:00Z,140
Connecticut,2020-04-05T00:00:00Z,189
Delaware,2020-04-05T00:00:00Z,14
District of Columbia,2020-04-05T00:00:00Z,22
Florida,2020-04-05T00:00:00Z,221
Georgia,2020-04-05T00:00:00Z,211
Idaho,2020-04-05T00:00:00Z,10
Illinois,2020-04-05T00:00:00Z,274
Indiana,2020-04-05T00:00:00Z,127
Iowa,2020-04-05T00:00:00Z,18
Kansas,2020-04-05T00:00:00Z,21
Kentucky,2020-04-05T00:00:00Z,45
Louisiana,2020-04-05T00:00:00Z,477
Maine,2020-04-05T00:00:00Z,10
Maryland,2020-04-05T00:00:00Z,67
Massachusetts,2020-04-05T00:00:00Z,231
Michigan,2020-04-05T00:00:00Z,675
Minnesota,2020-04-05T00:00:00Z,29
Mississippi,2020-04-05T00:00:00Z,43
Missouri,2020-04-05T00:00:00Z,64
Nevada,2020-04-05T00:00:00Z,46
New Jersey,2020-04-05T00:00:00Z,1185
New Mexico,2020-04-05T00:00:00Z,12
New York,2020-04-05T00:00:00Z,6596
North Carolina,2020-04-05T00:00:00Z,38
Ohio,2020-04-05T00:00:00Z,119
Oklahoma,2020-04-05T00:00:00Z,46
Oregon,2020-04-05T00:00:00Z,27
Pennsylvania,2020-04-05T00:00:00Z,151
Puerto Rico,2020-04-05T00:00:00Z,20
Rhode Island,2020-04-05T00:00:00Z,22
South Carolina,2020-04-05T00:00:00Z,44
Tennessee,2020-04-05T00:00:00Z,53
Texas,2020-04-05T00:00:00Z,163
Vermont,2020-04-05T00:00:00Z,22
Virginia,2020-04-05T00:00:00Z,52
Washington,2020-04-05T00:00:00Z,336
Wisconsin,2020-04-05T00:00:00Z,106
United States,2020-04-06T00:00:00Z,14228
Alabama,2020-04-06T00:00:00Z,49
Arizona,2020-04-06T00:00:00Z,65
Arkansas,2020-04-06T00:00:00Z,16
California,2020-04-06T00:00:00Z,380
Colorado,2020-04-06T00:00:00Z,150
Connecticut,2020-04-06T00:00:00Z,206
Delaware,2020-04-06T00:00:00Z,15
District of Columbia,2020-04-06T00:00:00Z,24
Florida,2020-04-06T00:00:00Z,236
Georgia,2020-04-06T00:00:00Z,229
Idaho,2020-04-06T00:00:00Z,10
Illinois,2020-04-06T00:00:00Z,307
Indiana,2020-04-06T00:00:00Z,143
Iowa,2020-04-06T00:00:00Z,25
Kansas,2020-04-06T00:00:00Z,24
Kentucky,2020-04-06T00:00:00Z,45
Louisiana,2020-04-06T00:00:00Z,512
Maine,2020-04-06T00:00:00Z,10
Maryland,2020-04-06T00:00:00Z,91
Massachusetts,2020-04-06T00:00:00Z,260
Michigan,2020-04-06T00:00:00Z,793
Minnesota,2020-04-06T00:00:00Z,30
Mississippi,2020-04-06T00:00:00Z,51
Missouri,2020-04-06T00:00:00Z,72
Nevada,2020-04-06T00:00:00Z,46
New Jersey,2020-04-06T00:00:00Z,1337
New Mexico,2020-04-06T00:00:00Z,12
New York,2020-04-06T00:00:00Z,7657
North Carolina,2020-04-06T00:00:00Z,45
Ohio,2020-04-06T00:00:00Z,142
Oklahoma,2020-04-06T00:00:00Z,51
Oregon,2020-04-06T00:00:00Z,27
Pennsylvania,2020-04-06T00:00:00Z,179
Puerto Rico,2020-04-06T00:00:00Z,21
Rhode Island,2020-04-06T00:00:00Z,24
South Carolina,2020-04-06T00:00:00Z,48
Tennessee,2020-04-06T00:00:00Z,65
